Brand,Processor,RAM(GB),Storage(GB),Screen Size(inch),Condition,Warranty
HP,AMD RYZEN 5,8 GB,1 TB HDD + 256 GB SSD,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16 GB,1 TB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 5,8 GB,1 TB HDD + 256 GB SSD,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16 GB,512 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 5,8 GB,512 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 10th Gen,8 GB,512 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i7 11th Gen,16 GB,512 GB,35.5 cm (14 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 9,32 GB,1 TB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16 GB,512 GB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16 GB,512 GB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,32 GB,1 TB,40.6 cm (16 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16 GB,1 TB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16 GB,1 TB HDD + 256 GB SSD,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16 GB,512 GB,43.9 cm (17.3 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i7 7th Gen,16 GB,1 TB HDD + 128 GB SSD,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i3 8th Gen,8 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,32 GB,1 TB,40.6 cm (16 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,8 GB,512 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 3,8 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16 GB,512 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 5,8 GB,512 GB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 11th Gen,8 GB,512 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16 GB,512 GB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 13th Gen,16 GB,512 GB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,N/A,16 GB,1 TB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 5,8 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16 GB,1 TB,43.9 cm (17.3 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,N/A,16 GB,1 TB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16 GB,1 TB,40.6 cm (16 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16 GB,512 GB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16 GB,1 TB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 3,8 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 12th Gen,16 GB,512 GB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i9 13th Gen,32 GB,1 TB,43.9 cm (17.3 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16 GB,1 TB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i7 13th Gen,32 GB,512 GB,35.5 cm (14 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 3,4 GB,1 TB,35.5 cm (14 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 11th Gen,16 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 11th Gen,8 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16 GB,512 GB,40.6 cm (16 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16 GB,1 TB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 11th Gen,16 GB,512 GB,33.7 cm (13.3 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 12th Gen,16 GB,512 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 9th Gen,8 GB,500 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16 GB,1 TB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 11th Gen,8 GB,512 GB,33.7 cm (13.3 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16 GB,512 GB,40.8 cm (16.1 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Dell,Core i5 10th Gen,8 GB,512 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 12th Gen,16 GB,512 GB,35.5 cm (14 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
